bookname,rating_nums,imgurl,info,author,translater,publisher,price,_openid,total
世界尽头与冷酷仙境,8.6,https://img1.doubanio.com/view/subject/s/public/s1801057.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,[日] 村上春树 , 林少华 , 上海译文出版社 , 23.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
世界的凛冬,8.8,https://img1.doubanio.com/view/subject/s/public/s29331058.jpg,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,[英] 肯·福莱特 , 陈杰 , 江苏凤凰文艺出版社 , 132.00（全三册）,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
稻草人手记,8.9,https://img1.doubanio.com/view/subject/s/public/s3667048.jpg,三毛 / 北京十月文艺出版社 / 2009-3 / 18.00元,三毛 ,none, 北京十月文艺出版社 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
挪威的森林,8.5,https://img1.doubanio.com/view/subject/s/public/s27312538.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,[日] 村上春树 , 林少华 , 上海译文出版社 , 23.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
论语,9.1,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,中华书局 / 2006-12 / 9.80元,中华书局 ,none,中华书局 , 9.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
香水,8.5,https://img1.doubanio.com/view/subject/s/public/s1556748.jpg,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,[德] 帕·聚斯金德 , 李清华 , 上海译文出版社 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
佐贺的超级阿嬷,8.7,https://img3.doubanio.com/view/subject/s/public/s3922462.jpg,[日] 岛田洋七 / 陈宝莲 / 南海出版公司 / 2007-3 / 20.00元,[日] 岛田洋七 , 陈宝莲 , 南海出版公司 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
多情剑客无情剑(上、中、下),8.7,https://img1.doubanio.com/view/subject/s/public/s1641357.jpg,古龙 / 海天出版社 / 1991-12-01 / 49.8,古龙 ,none, 海天出版社 ,49.8,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
故事新编,9.2,https://img3.doubanio.com/view/subject/s/public/s29834872.jpg,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,鲁迅 ,none, 人民文学出版社 , 0.31 元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
告白,8.5,https://img3.doubanio.com/view/subject/s/public/s4425090.jpg,[日]凑佳苗 / 丁世佳 / 哈尔滨出版社 / 2010年6月 / 26.00元,[日]凑佳苗 , 丁世佳 , 哈尔滨出版社 , 26.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
步履不停,8.7,https://img3.doubanio.com/view/subject/s/public/s29425921.jpg,[日] 是枝裕和 / 郑有杰 / 北京联合出版公司 / 2017-5 / 36.80元,[日] 是枝裕和 , 郑有杰 , 北京联合出版公司 , 36.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
当呼吸化为空气,8.8,https://img3.doubanio.com/view/subject/s/public/s29423902.jpg,[美] 保罗·卡拉尼什 / 何雨珈 / 猫头鹰文化·浙江文艺出版社 / 2016-12 / 48.00元,[美] 保罗·卡拉尼什 , 何雨珈 , 猫头鹰文化·浙江文艺出版社 , 48.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
牡丹亭,9,https://img9.doubanio.com/view/subject/s/public/s1075414.jpg,汤显祖 / 人民文学出版社 / 1963-4-1 / 14.50元,汤显祖 ,none, 人民文学出版社 , 14.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
社会契约论,8.8,https://img3.doubanio.com/view/subject/s/public/s3470220.jpg,卢梭 / 何兆武 / 商务印书馆 / 2003-2-1 / 18.00元,卢梭 , 何兆武 , 商务印书馆 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
二手时间,8.8,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版集团 / 2016-1 / 55.00元,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 , 中信出版集团 , 55.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
荒原狼,9,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg,[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,[德]赫尔曼·黑塞 , 赵登荣 , 上海译文出版社 ,13,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
通往奴役之路,8.8,https://img9.doubanio.com/view/subject/s/public/s8879166.jpg,弗里德利希・冯・哈耶克 / 王明毅 / 中国社会科学出版社 / 1997-08-01 / 16.00,弗里德利希・冯・哈耶克 , 王明毅 , 中国社会科学出版社 ,16,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
人类的群星闪耀时,8.7,https://img9.doubanio.com/view/subject/s/public/s1134166.jpg,[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,[奥] 斯蒂芬·茨威格 , 舒昌善 , 广西师范大学出版社 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
哈姆莱特,8.6,https://img1.doubanio.com/view/subject/s/public/s27009357.jpg,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,[英] 莎士比亚 , 朱生豪 , 人民文学出版社 , 7.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
别闹了，费曼先生,8.9,https://img9.doubanio.com/view/subject/s/public/s1027286.jpg,费曼 / 吴程远 / 生活·读书·新知三联书店 / 1997-12 / 22.00,费曼 , 吴程远 , 生活·读书·新知三联书店 ,22,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
美丽新世界,8.7,https://img1.doubanio.com/view/subject/s/public/s1344337.jpg,[英] 阿道司·赫胥黎 / 王波 / 重庆出版社 / 2005-6 / 20.00元,[英] 阿道司·赫胥黎 , 王波 , 重庆出版社 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
欢乐英雄,8.8,https://img1.doubanio.com/view/subject/s/public/s2508587.jpg,古龙 / 珠海出版社 / 2005-8 / 28.00元,古龙 ,none, 珠海出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
老人与海,8.4,https://img3.doubanio.com/view/subject/s/public/s1050021.jpg,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,海明威 , 吴劳 , 上海译文出版社 , 8.20元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
